True_value,Prediction
[881.916],[878.1432]
[888.428],[907.83716]
[802.20135],[860.30536]
[1126.144],[1096.0522]
[788.514],[775.38666]
[819.8877],[792.0453]
[903.1953],[963.7319]
[1073.6187],[1024.4805]
[1062.5597],[1095.1357]
[799.97266],[776.6036]
[1146.327],[1176.8287]
[990.76935],[1048.888]
[1149.4607],[1279.3529]
[1119.4326],[1136.1111]
[1055.8904],[1025.9653]
[1438.9597],[1421.795]
[1246.024],[1295.1897]
[1235.4343],[1497.0607]
[919.7167],[946.1446]
[1155.088],[1158.342]
[825.27936],[847.9863]
[868.53235],[802.98553]
[913.78735],[968.85046]
[983.89764],[945.77423]
[711.714],[733.7297]
[1290.591],[1308.4846]
[1401.056],[1446.7876]
[834.29565],[771.30695]
[1166.8126],[1138.6218]
[984.94867],[1043.7872]
[703.366],[683.9466]
[888.31866],[919.8403]
[960.662],[972.54285]
[717.4633],[681.1002]
[1197.3043],[1195.5896]
[1155.6747],[1139.7753]
[1020.8367],[1050.3544]
[1470.9767],[1478.63]
[901.4087],[905.3327]
[1202.6647],[1163.5624]
[1109.0724],[1164.2008]
[1200.33],[1202.7847]
[738.76764],[698.8776]
[1013.40765],[1009.87274]
[1115.2847],[1110.0736]
[1040.9437],[1100.3201]
[836.7893],[901.81757]
[1054.042],[1090.5189]
[829.1177],[817.37964]
[1594.4313],[1553.7993]
[890.67834],[932.84546]
[662.8807],[680.2475]
[904.552],[992.34973]
[681.683],[672.6889]
[759.184],[740.33887]
[960.52234],[1038.0732]
[889.9943],[921.3122]
[944.7863],[946.78754]
[987.48035],[977.4594]
[1303.9156],[1273.224]
[1142.469],[1128.7812]
[969.022],[989.288]
[1694.706],[1553.4574]
[876.756],[884.3597]
[1151.8503],[1185.0817]
[785.277],[795.493]
[726.74634],[687.8339]
[1248.749],[1258.4333]
[903.94],[919.048]
[822.328],[834.22]
[946.4197],[1008.22217]
[749.588],[746.51953]
[1237.399],[1244.1155]
[1142.4193],[1170.3528]
[1366.262],[1308.2617]
[1053.948],[1056.3494]
[960.0593],[981.8385]
[866.99335],[909.5516]
[1245.313],[1210.6522]
[713.53534],[752.7513]
[932.485],[901.9276]
[688.913],[679.8421]
[999.234],[910.0481]
[727.6143],[673.7044]
[1014.08234],[953.9768]
[1381.8434],[1380.134]
[813.294],[789.5416]
[1220.8873],[1202.3859]
[1004.3933],[969.1936]
[845.736],[893.96893]
[921.07434],[956.2547]
[606.2053],[617.588]
[934.71533],[962.5185]
[967.5123],[958.84375]
[765.343],[813.3434]
[792.2447],[809.9261]
[984.60834],[971.53973]
[1175.1857],[1179.3398]
[1220.0177],[1215.9985]
[740.266],[750.9003]
[652.61365],[668.0574]
[742.121],[783.4931]
[1180.4663],[1171.432]
[1194.682],[1177.6228]
[744.16235],[764.84174]
[754.33],[773.4036]
[773.91034],[752.8809]
[1004.899],[1012.1301]
[1060.6624],[1080.3947]
[816.3903],[807.2921]
[986.88165],[994.29114]
[1129.3997],[1166.8125]
[1187.5303],[1179.2112]
[931.4713],[963.84955]
[1582.6707],[1553.25]
[741.39465],[702.2479]
[970.5757],[993.91437]
[857.101],[849.9808]
[794.11066],[804.97217]
[736.70435],[701.8529]
[1093.7177],[1081.2212]
[782.2213],[819.6921]
[991.97833],[1024.6396]
[1533.809],[1553.5818]
[1274.5797],[1301.2291]
[774.257],[802.10333]
[968.4403],[916.4326]
[881.48065],[921.12665]
[970.18134],[934.41394]
[958.666],[968.18207]
[1165.9673],[1222.5725]
[963.5267],[1050.2177]
[1253.657],[1215.5253]
[983.56036],[1007.69684]
[1200.1766],[1154.0714]
[918.89233],[914.0644]
[784.9483],[784.0432]
[1687.3773],[1553.4811]
[1523.13],[1553.483]
[951.5267],[957.646]
[1375.53],[1311.6624]
[783.07166],[718.1997]
[785.8413],[806.5995]
[1208.2317],[1218.864]
[1106.997],[1104.3857]
[733.298],[694.9732]
[1006.46533],[1047.2485]
[680.2317],[700.3075]
[870.728],[877.00104]
[896.1483],[932.1487]
[599.62164],[611.4661]
[793.74335],[777.36884]
[987.7833],[992.63275]
[955.7053],[933.3092]
[913.50964],[934.6657]
[1366.052],[1352.4807]
[1018.9973],[947.36945]
[1087.3843],[1141.3464]
[946.43933],[893.90204]
[772.69366],[729.9077]
[1248.8037],[1247.0962]
[746.5123],[815.56793]
[807.93066],[812.5696]
[1003.80865],[959.20404]
[755.133],[767.0769]
[1064.542],[1040.9833]
[1189.6866],[1216.9645]
[1056.3663],[1055.6211]
[1137.9796],[1182.161]
[863.7607],[885.9053]
[1329.027],[1359.4468]
[1225.2916],[1146.1447]
[708.473],[688.359]
[1389.2606],[1295.5773]
[1432.1387],[1534.8529]
[839.119],[850.7336]
[757.8753],[755.54755]
[887.684],[883.6769]
[1273.1627],[1278.0626]
[1440.1007],[1389.9423]
[737.1693],[685.872]
[859.5627],[887.05096]
[778.441],[766.70074]
[709.93665],[694.0092]
[769.052],[768.9374]
[919.76166],[965.33936]
[882.81836],[921.23474]
[1231.878],[1289.0525]
[844.5367],[842.59406]
[1057.4813],[1046.3357]
[860.78564],[838.2729]
[1002.37964],[982.35895]
[1582.9347],[1553.372]
[712.402],[731.833]
[765.526],[752.95013]
[1364.0254],[1375.9962]
[872.2637],[915.97656]
[864.175],[850.80035]
[902.87836],[881.6555]
[926.67365],[956.33105]
[680.66864],[658.8695]
[897.78235],[897.5254]
[1271.531],[1343.1725]
[790.178],[777.8309]
[1089.8563],[1072.7201]
[1083.0193],[1027.544]
[1136.2107],[1139.4779]
[921.5137],[930.1308]
[1349.312],[1413.2607]
[1110.5557],[1128.1211]
[933.60065],[970.67694]
[1098.119],[1132.7205]
[1520.1833],[1444.218]
[1217.5957],[1198.6774]
[817.52234],[842.89233]
[1111.816],[1077.4489]
[988.71234],[962.7502]
[643.40466],[654.5041]
[705.72064],[676.3191]
[1205.982],[1118.185]
[1045.765],[1110.4669]
[1061.6926],[1086.2385]
[683.251],[686.4062]
[1002.76135],[992.86346]
[1018.97864],[1018.14746]
[732.493],[718.76404]
[817.57166],[828.5008]
[720.806],[733.3867]
[811.00635],[878.44867]
[1144.2084],[1102.6832]
[995.8567],[1000.7257]
[1499.8187],[1482.6068]
[1460.3213],[1505.3546]
[1227.5146],[1308.2218]
[1494.8563],[1553.064]
[669.06665],[655.6865]
[931.535],[930.4192]
[970.17334],[939.81354]
[791.47833],[778.94476]
[937.26935],[979.4007]
[1191.1967],[1156.7981]
[1384.5487],[1488.647]
[883.78436],[899.48334]
[1004.019],[982.4608]
[1059.095],[1096.8475]
[774.8697],[782.5434]
[832.07635],[844.3708]
[810.5887],[858.4947]
[976.3463],[1017.6969]
[608.15234],[618.6949]
[1261.874],[1203.7604]
[1138.1653],[1106.79]
[1186.8336],[1194.6945]
[759.2497],[699.63275]
[967.81165],[995.96906]
[951.1093],[947.1905]
[768.5733],[786.16296]
[956.83966],[1034.7216]
[1005.33435],[1044.8059]
[1169.5177],[1151.4087]
[807.4667],[816.14777]
[869.815],[848.5988]
[1055.0514],[1089.8416]
[807.5937],[846.76636]
[1494.3856],[1472.3584]
[1372.1703],[1408.1224]
[761.494],[755.9192]
[908.8437],[853.50525]
[696.313],[673.1874]
[1064.28],[1076.9475]
[1458.206],[1467.1351]
[970.424],[891.2757]
[1245.0173],[1313.4214]
[1078.8733],[1103.2904]
[669.1743],[670.7152]
[1028.4114],[963.896]
[801.26733],[816.9267]
[922.7],[1009.2381]
[1143.4647],[1166.9153]
[1125.775],[1139.865]
[1321.5836],[1227.7926]
[883.4893],[901.15674]
[837.10333],[904.7601]
[823.117],[817.77515]
[682.256],[661.3114]
[1043.9303],[1056.792]
[961.3513],[1013.79553]
[841.417],[859.884]
[796.74536],[840.6053]
[1139.689],[1162.6598]
[1138.7673],[1097.5367]
[1350.384],[1407.8787]
[1104.816],[1099.0013]
[807.452],[864.6855]
[1070.949],[1078.8369]
[1393.45],[1523.7231]
[1298.1693],[1258.6947]
[975.08136],[977.71924]
[887.83435],[957.2986]
[1172.3956],[1207.5026]
[987.3337],[979.2717]
[898.366],[939.9933]
[980.89734],[969.33246]
[1310.491],[1369.3444]
[682.28735],[692.26385]
[807.297],[828.3248]
[1106.9274],[1142.1086]
[967.2267],[966.27954]
[830.7103],[838.54675]
[952.2527],[1030.5872]
[1022.341],[1021.7266]
[1351.8197],[1219.8966]
[770.68866],[818.689]
[1012.0783],[981.358]
[744.391],[814.5032]
[1019.176],[1027.954]
[873.7627],[899.926]
[1100.594],[1136.2096]
[933.32764],[934.5354]
[1325.5123],[1200.3782]
[1028.6127],[1013.2446]
[1134.232],[1225.0941]
[1142.1053],[1101.1918]
[1075.562],[1026.2982]
[961.3387],[971.55646]
[1484.5017],[1542.6384]
[710.531],[732.65216]
[1236.112],[1261.1079]
[683.5257],[688.23425]
[1181.8793],[1185.4323]
[884.739],[896.34436]
[913.7993],[938.4235]
[1377.4607],[1405.5704]
[1182.2273],[1205.0947]
[1184.0717],[1170.6908]
[922.32465],[976.18787]
[657.6253],[696.6663]
[817.9347],[795.3545]
[1041.6377],[1082.799]
[1448.177],[1498.5985]
[734.362],[760.96027]
[649.54364],[664.7813]
[999.8697],[1072.2026]
[1224.1273],[1211.8125]
[1080.785],[1092.021]
[897.422],[904.42096]
[1439.2333],[1430.0537]
[668.965],[693.5842]
[1004.713],[1037.6202]
[833.7817],[792.9868]
[770.13336],[800.66406]
[1417.486],[1549.3718]
[1126.7173],[1083.3646]
[881.3563],[872.97]
[808.30066],[802.55804]
[1228.4744],[1234.7711]
[1071.6887],[1068.4938]
[790.26666],[814.39496]
[909.52],[886.96387]
[1582.9147],[1553.7988]
[1328.6317],[1272.0408]
[1330.521],[1290.6213]
[1010.989],[1026.465]
[1522.9083],[1523.8589]
[1189.115],[1149.9375]
[957.937],[944.4177]
[898.523],[895.7715]
[900.7767],[913.0104]
[1306.5146],[1359.4962]
[1084.1566],[1119.4143]
[1187.805],[1178.0693]
[791.1643],[801.12103]
[736.88],[703.8913]
[870.768],[914.8368]
[1406.1674],[1344.7234]
[962.043],[964.5477]
[1154.8817],[1191.4222]
[680.37634],[674.1486]
[750.573],[797.181]
[830.6257],[898.9633]
[707.25964],[709.45013]
[866.3823],[869.59296]
[682.99536],[742.02747]
[1163.709],[1169.2727]
[1059.8623],[1045.9843]
[1062.3016],[1087.0515]
[902.67834],[877.026]
[735.2117],[717.3388]
[837.655],[802.4422]
[1005.77966],[1010.8959]
[706.04834],[730.2326]
[873.8827],[930.1493]
[765.06165],[803.8698]
[1115.592],[1114.6205]
[729.913],[703.24866]
[1077.6593],[1087.7516]
[1244.5913],[1220.0046]
[815.10535],[842.87164]
[1144.9073],[1074.0643]
[767.701],[789.16815]
[1084.7756],[1080.6495]
[1195.2693],[1225.6016]
[1147.6666],[1192.521]
[1212.2444],[1178.4883]
[1072.9207],[1021.1983]
[1195.6747],[1217.4896]
[906.42365],[935.9997]
[1188.866],[1208.1243]
[1714.78],[1552.132]
[774.838],[803.47577]
[1106.4384],[1142.9208]
[1162.1876],[1154.0525]
[1331.4957],[1308.6827]
[1133.906],[1103.9288]
[1014.12036],[1013.7578]
[1062.7094],[1046.8634]
[1237.397],[1262.2737]
[764.244],[792.07117]
[1176.5006],[1155.8037]
[1456.7163],[1377.3928]
[793.9613],[756.07916]
[911.337],[962.44806]
[1093.606],[1276.1647]
[986.6823],[1019.3475]
[1093.2983],[1079.7045]
[724.9637],[728.5967]
[884.2367],[864.6477]
[880.36],[922.4046]
[647.704],[676.97534]
[1176.7483],[1157.499]
[935.6127],[909.54407]
[1066.251],[1088.9716]
[1268.208],[1408.2194]
[845.3027],[825.27814]
[1162.2673],[1176.7434]
[928.5257],[918.66675]
[837.324],[846.5239]
[1179.3376],[1145.6764]
[684.5517],[683.4158]
[841.415],[860.4785]
[762.016],[761.6431]
[1092.3057],[1054.4004]
[955.38135],[989.4316]
[870.321],[959.53906]
[674.869],[663.5083]
[1755.2086],[1550.303]
[665.86536],[686.29956]
[1479.1333],[1434.9663]
[833.3227],[835.11334]
[753.706],[761.0086]
[852.23267],[917.8822]
[767.196],[776.0018]
[1021.1663],[1037.4736]
[1147.516],[1140.9471]
[1314.1606],[1271.9554]
[822.903],[787.17224]
[1234.3783],[1298.5045]
[689.10864],[664.66614]
[788.844],[803.2414]
[861.7293],[838.4263]
[1097.319],[1095.9462]
[1337.616],[1325.7351]
[1318.3276],[1394.596]
[1347.5876],[1372.0966]
[919.34],[967.6919]
[1014.11066],[1047.1583]
[678.783],[672.30255]
[1033.1787],[1017.21185]
[1259.218],[1171.6531]
[836.735],[830.996]
[1292.4667],[1356.8253]
[1056.8167],[1063.4357]
[1076.9833],[1068.4044]
[1291.626],[1358.8234]
[1196.7336],[1183.693]
[1100.1244],[1135.0782]
[1276.3486],[1292.4603]
[989.37634],[955.704]
[1071.447],[1042.2485]
[940.3283],[935.0786]
[897.45764],[892.50256]
[834.108],[893.5171]
[1417.2523],[1410.4122]
[825.5253],[773.0241]
[733.92065],[707.8219]
[1148.1044],[1184.0292]
[1146.0193],[1162.297]
[730.18365],[731.3355]
[631.07434],[648.216]
[777.035],[744.2669]
[987.808],[1091.517]
[859.0057],[864.7896]
[794.029],[806.99164]
[1003.415],[1008.87866]
[1514.1077],[1468.0288]
[750.7233],[728.6222]
[979.0783],[1012.1588]
[1382.943],[1454.3309]
[770.489],[749.0493]
[1197.2097],[1240.169]
[906.1247],[904.65204]
[1182.9137],[1150.2734]
[695.739],[687.70483]
[920.05865],[907.6499]
[907.036],[1010.5923]
[1126.6624],[1129.2849]
[1092.395],[1103.3523]
[942.9977],[960.68634]
[1014.85236],[1028.3717]
[759.2817],[781.0979]
[1208.2604],[1183.4514]
[1117.4803],[1115.468]
[731.076],[760.93365]
[708.17633],[674.0383]
[1241.1194],[1364.8547]
[1147.913],[1240.5062]
[849.05865],[848.28143]
[1312.562],[1106.7455]
[1100.9486],[1101.6051]
[1212.0907],[1132.75]
[852.983],[849.92804]
[1944.5663],[1552.9431]
[1210.6506],[1213.8022]
[970.582],[972.8269]
[954.359],[978.7733]
[1076.437],[1069.296]
[869.614],[945.8826]
[782.0867],[848.9639]
[1178.412],[1251.5612]
[777.951],[745.4243]
[736.3357],[724.065]
[1355.8567],[1355.387]
[1150.2444],[1092.3198]
[1154.5327],[1216.9509]
[936.4763],[939.7571]
[1009.1983],[970.2637]
[951.52167],[938.06134]
[1087.633],[1105.4427]
[1141.6073],[1141.6505]
[808.11633],[853.12805]
[728.554],[698.91406]
[1082.9337],[1124.3057]
[1024.6036],[1015.634]
[1164.4623],[1221.1005]
[1062.274],[1014.2012]
[964.30566],[975.08594]
[815.97266],[764.1197]
[663.3593],[678.11035]
[705.361],[772.4702]
[1079.954],[1100.0353]
[1005.34033],[1023.65283]
[1273.7454],[1227.2737]
[943.4817],[986.03296]
[967.455],[954.8719]
[979.06],[961.5856]
[1025.0667],[1013.37476]
[783.1647],[762.04205]
[1331.753],[1339.2079]
[1091.1967],[1091.1294]
[1058.129],[1049.0808]
[1117.0127],[1096.174]
[893.74335],[865.2955]
[668.4533],[658.91486]
[1156.3463],[1134.6451]
[949.79736],[961.12427]
[701.29865],[671.85236]
[973.1567],[952.7593]
[857.7087],[898.3691]
[1153.0306],[1145.1421]
[1258.696],[1208.7646]
[1182.78],[1202.009]
[713.9273],[726.8599]
[1355.8717],[1354.0128]
[886.88934],[913.10425]
[1372.0353],[1307.2568]
[1049.1593],[1083.4994]
[781.4277],[779.8031]
[1107.2677],[1096.5647]
[1537.079],[1549.8252]
[662.27136],[674.58563]
[1118.303],[1015.8362]
[1265.2246],[1304.9381]
[878.596],[848.36676]
[1116.4773],[1094.3091]
[869.0363],[869.4239]
[754.774],[780.8718]
[1026.3546],[1069.4387]
[985.03436],[960.9864]
[781.0463],[789.8152]
[1182.9867],[1210.2495]
[853.88],[840.7294]
[739.41766],[678.8798]
[1086.944],[1087.1655]
[956.599],[978.74005]
[1270.8203],[1378.7072]
[817.71564],[891.53546]
[1243.3604],[1281.4135]
[1083.7477],[1046.4755]
[953.51764],[983.6531]
[865.3957],[898.88586]
[912.93665],[997.87494]
[869.939],[924.05444]
[705.85266],[719.89056]
[1310.4553],[1386.3942]
[1152.564],[1103.6254]
[644.03265],[653.04315]
[1232.5237],[1143.2667]
[1052.1437],[1084.4633]
[885.6403],[900.54626]
[1045.964],[1109.1]
[923.85834],[917.35425]
[895.99567],[920.16284]
[1027.6943],[998.59607]
[884.70166],[862.6067]
[1185.584],[1238.5947]
[966.7247],[998.82]
[1430.2433],[1398.0497]
[1248.7273],[1290.7014]
[923.72833],[886.2964]
[832.89136],[825.26495]
[1041.019],[1021.7641]
[1105.1924],[1108.4868]
[953.0203],[980.1746]
[935.71564],[940.8288]
[961.38666],[1027.091]
[1173.509],[1204.9968]
[753.0987],[695.0925]
[780.228],[790.39496]
[1000.482],[857.2753]
[937.271],[983.3593]
[850.918],[807.6758]
[1337.1597],[1386.6847]
[1296.8667],[1304.8307]
[1544.173],[1553.3606]
[669.664],[678.5687]
[961.9033],[979.16907]
[754.87164],[757.1217]
[858.682],[832.3349]
[912.74036],[942.07745]
[1110.263],[1019.32104]
[990.138],[1007.5958]
[859.875],[868.2431]
[846.903],[881.8752]
[850.3493],[843.3218]
[933.82635],[948.0901]
[1091.9857],[1156.3423]
[1405.2677],[1447.3583]
[785.12134],[832.6058]
[864.90967],[855.5981]
[1183.4463],[1218.8993]
[803.2657],[820.4848]
[1100.4717],[1091.9392]
[817.2443],[785.32983]
[862.5263],[917.5159]
[762.21],[784.86847]
[1024.523],[1011.6252]
[1814.4243],[1552.9059]
[1097.332],[1046.4564]
[844.20465],[792.60706]
[986.60736],[997.5558]
[767.066],[745.44305]
[862.5933],[840.18365]
[1226.6007],[1179.0114]
[734.1713],[729.3157]
[1047.9114],[1022.6782]
[976.0727],[964.3585]
[1184.93],[1153.3904]
[1109.974],[1059.4817]
[773.9743],[793.32294]
[990.1127],[1010.463]
[1054.9403],[1030.7188]
[909.22266],[948.7369]
[835.41736],[847.12195]
[995.19867],[903.58704]
[813.726],[805.8846]
[1308.3977],[1269.3413]
[1173.703],[1145.9744]
[948.034],[1033.967]
[963.679],[1014.8483]
[643.6693],[661.5197]
[690.656],[693.8191]
[716.28766],[710.3434]
[695.62665],[678.5795]
[982.99567],[1015.39386]
[1105.8956],[1088.695]
[1022.0103],[1004.0128]
[1256.1897],[1312.7064]
[694.405],[677.7487]
[685.35333],[665.04254]
[1062.387],[1076.1809]
[901.7233],[943.03015]
[922.196],[922.57697]
[1264.4143],[1144.1205]
[886.0387],[908.01434]
[1127.9697],[1202.5839]
[829.3517],[819.9099]
[1337.0453],[1316.5211]
[722.97565],[741.71173]
[1135.5647],[1143.4166]
[1206.3987],[1192.6147]
[919.01],[935.0152]
[775.852],[796.51855]
[1267.5177],[1204.8917]
[1110.7966],[1084.4836]
[1241.51],[1288.2076]
[741.60065],[719.21686]
[1125.885],[1099.2925]
[789.50464],[783.432]
[1105.15],[1089.946]
[917.333],[929.3978]
[953.31464],[951.0737]
[1303.8197],[1305.2151]
[1075.531],[1067.4028]
[1211.9103],[1164.4706]
[858.65234],[881.3938]
[986.022],[974.8476]
[761.44666],[767.10016]
[1052.675],[1091.1567]
[1094.3016],[1115.8304]
[1109.779],[1178.1547]
[1068.4937],[1164.5673]
[1250.0907],[1289.1467]
[662.3727],[661.6803]
[766.0333],[815.2809]
[652.52734],[657.119]
[1162.26],[1116.5104]
[632.371],[659.5723]
[701.592],[671.79553]
[785.552],[774.6193]
[1010.658],[1050.0046]
[1209.1],[1255.6434]
[910.643],[923.07263]
[898.63135],[916.6509]
[808.558],[889.40936]
[679.10535],[681.0027]
[1017.58435],[1041.6653]
[895.81934],[858.11707]
[1018.2237],[1023.9066]
[1069.5576],[1117.3704]
[1127.8544],[1094.388]
[829.3353],[827.07855]
[901.65735],[904.83765]
[818.65735],[788.924]
[1042.4376],[1172.9363]
[1138.0427],[1182.5507]
[834.4133],[793.5485]
[1013.9847],[987.17365]
[1053.111],[1027.5348]
[860.24866],[832.704]
[728.394],[689.3352]
[1263.701],[1258.1857]
[1248.5156],[1256.5206]
[1117.7433],[1159.8092]
[1402.0297],[1336.4286]
[964.68665],[931.2413]
[737.9977],[712.1909]
[934.746],[913.14453]
[745.491],[793.82385]
[704.0023],[677.98047]
[1075.088],[1078.9309]
[1162.7887],[1069.4735]
[1046.2134],[1058.3505]
[1187.8777],[1141.3127]
[623.09064],[679.5808]
[1026.738],[969.5902]
[1063.0337],[1081.1017]
[878.618],[919.3354]
[1251.994],[1275.7069]
[1388.293],[1351.7025]
[986.93],[968.7733]
[956.4013],[948.1598]
[891.1097],[902.53955]
[679.649],[679.43365]
[1019.7427],[1023.16046]
[1701.7716],[1553.3961]
[818.53064],[868.0453]
[1266.8796],[1238.3473]
[1032.23],[1009.46405]
[984.195],[978.4942]
[687.142],[650.1653]
[731.9817],[736.7023]
[1408.637],[1452.3344]
[1124.8276],[1102.3416]
[1264.3253],[1250.771]
[1187.889],[1294.5175]
[937.741],[973.6259]
[1182.6556],[1178.788]
[1500.98],[1553.0364]
[669.3077],[651.5431]
[999.686],[977.97906]
[1256.6017],[1233.3041]
[1200.957],[1137.4886]
[1273.6157],[1275.1556]
[728.4017],[696.7917]
[912.87164],[941.89667]
[1165.5967],[1175.0321]
[864.05334],[845.16095]
[1215.693],[1228.6033]
[1232.289],[1148.9246]
[748.20667],[744.8087]
[958.227],[984.6736]
[1202.3557],[1151.0925]
[1144.7134],[1161.6891]
[1079.8103],[1036.0435]
[817.987],[785.3885]
[1091.49],[1087.0238]
[889.25165],[942.27216]
[767.3627],[766.68964]
[914.918],[933.5137]
[775.222],[802.03595]
[1018.262],[1010.80237]
[793.149],[853.0273]
[739.5367],[709.5713]
[644.36536],[634.3691]
[768.285],[795.09094]
[672.6663],[645.5222]
[1052.1757],[1061.3257]
[792.7707],[771.10596]
[944.58435],[956.7205]
[1266.1466],[1220.0726]
[928.46265],[928.6735]
[1068.054],[1095.6044]
[882.133],[868.81506]
[733.003],[796.59296]
[829.97766],[896.45465]
[1376.0703],[1552.8542]
[889.7267],[822.1413]
[1489.681],[1553.3589]
[1160.647],[1179.4161]
[1500.6354],[1552.0386]
[1036.1553],[1078.0712]
[734.301],[679.03345]
[897.6143],[986.7247]
[1268.68],[1413.0526]
[1132.3436],[1191.0724]
[840.7393],[859.5884]
[882.9603],[944.0242]
[1104.8846],[1136.5697]
[1099.712],[1067.0627]
[1006.68536],[1039.2095]
[1203.9183],[1186.7468]
[1199.2404],[1233.2637]
[676.00433],[633.47034]
[1143.7117],[1140.6724]
[847.7817],[833.91565]
[908.7887],[908.7694]
[1589.4147],[1515.3882]
[949.24835],[923.9848]
[639.72],[667.5093]
[943.6513],[980.2638]
[1408.0063],[1409.5167]
[784.2393],[859.94135]
[773.6377],[831.4074]
[812.05566],[801.23785]
[1353.5173],[1418.0292]
[745.94],[764.9762]
[996.11334],[961.405]
[1061.328],[1130.8843]
[950.197],[1039.4235]
[696.19666],[703.91266]
[1120.0767],[1138.3793]
[780.866],[774.27203]
[745.1777],[737.55743]
[898.925],[948.8473]
[827.15533],[817.3785]
[1101.9484],[1115.918]
[737.908],[760.90686]
[1077.636],[1130.59]
[1707.8187],[1553.1383]
[1116.9907],[1127.1]
[718.82166],[721.38477]
[1425.7273],[1505.813]
[792.389],[739.10425]
[1279.0177],[1292.4366]
[788.626],[782.55707]
[855.0207],[816.92566]
[764.279],[697.25195]
[1211.2184],[1270.5543]
[1149.9534],[1122.4541]
[1093.9634],[1114.2283]
[1011.0497],[1016.35876]
[826.35034],[840.6492]
[761.1117],[790.40265]
[712.2733],[712.43494]
[979.4607],[1056.0493]
[1112.2244],[1126.9296]
[1031.701],[1040.8387]
[827.875],[837.2968]
[795.306],[802.32825]
[1065.9904],[1227.3206]
[1401.8213],[1373.835]
[877.956],[906.41754]
[799.45233],[825.395]
[1078.6423],[1068.411]
[950.5003],[954.3075]
[695.246],[714.4406]
[1045.5374],[1068.1101]
[904.33466],[920.233]
[1046.128],[990.45526]
[1041.878],[1054.4606]
[1117.334],[1084.0428]
[848.613],[816.42]
[698.56433],[749.4139]
[800.172],[806.76074]
[818.0653],[808.98535]
[1016.47736],[963.2063]
[845.03],[857.71484]
[1180.8247],[1228.2676]
[1343.7067],[1418.9692]
[1082.7286],[1062.5011]
[1238.5487],[1231.2122]
[783.52264],[760.1879]
[1075.579],[1077.0305]
[1002.3307],[1011.2412]
[1031.428],[1123.3845]
[711.876],[647.3417]
[711.6617],[677.2367]
[812.5337],[833.679]
[1113.3846],[1101.8508]
[1412.0187],[1455.2499]
[1060.949],[1022.9226]
[870.59467],[919.4508]
[812.52734],[797.3795]
[1212.3517],[1278.2452]
[772.6927],[759.89514]
[960.12335],[962.0822]
[1041.0283],[1082.017]
[965.40533],[962.5932]
[811.50934],[830.8209]
[1012.727],[985.3569]
[958.017],[921.1703]
[746.26166],[708.2239]
[829.9147],[862.357]
[957.4607],[947.16626]
[1305.4097],[1286.3232]
[780.2687],[744.2077]
[1000.193],[1028.403]
[1287.0537],[1277.7147]
[668.96967],[634.5599]
[1326.399],[1303.0459]
[1006.6957],[1038.7682]
[868.9507],[884.58936]
[855.214],[914.06085]
[736.766],[717.1393]
[1104.907],[1131.8334]
[1225.4746],[1229.0674]
[841.24866],[827.64844]
[994.527],[954.77435]
[809.00836],[781.9287]
[685.2107],[675.59515]
[828.74335],[827.1689]
[948.919],[990.3387]
[1380.1354],[1404.2651]
[947.80334],[993.45776]
[772.05365],[766.9829]
[744.5263],[745.69104]
[917.8623],[976.7003]
[1223.9707],[1223.9215]
[1216.2134],[1313.4215]
[797.616],[859.4108]
[1420.2253],[1401.6998]
[1565.2346],[1509.1572]
[1048.8484],[987.67017]
[1232.419],[1231.7952]
[985.70264],[978.8394]
[1168.7184],[1157.9977]
[911.68933],[910.2558]
[853.636],[821.1834]
[708.7503],[689.1168]
[775.44666],[838.5839]
[908.44965],[908.2958]
[1149.4347],[1107.5405]
[1089.5293],[1107.7322]
[692.6197],[677.3922]
[1338.517],[1408.2573]
[963.0233],[932.5103]
[892.29236],[881.27106]
[881.94965],[886.95654]
[1071.0834],[1082.1979]
[1200.8236],[1270.0002]
[1689.4313],[1553.087]
[1149.4977],[1146.9116]
[941.521],[977.45074]
[1015.71234],[1053.2794]
[674.79865],[689.5323]
[828.03766],[821.8603]
[1275.468],[1318.888]
[1019.9717],[1024.1085]
[989.26],[1046.6129]
[729.4617],[687.9959]
[1179.449],[1144.5292]
[1061.816],[1076.0358]
[709.678],[686.51215]
[1025.1154],[1089.1378]
[830.4767],[908.761]
[1004.486],[1012.2316]
[1243.956],[1185.2584]
[1011.824],[1035.8982]
[1026.383],[1009.1771]
[1358.4753],[1297.196]
[759.22064],[785.3101]
[1036.5507],[1106.6046]
[1326.6837],[1172.4481]
[1231.7277],[1265.36]
[886.38165],[862.9659]
[1054.5813],[1076.1366]
[1028.128],[1021.8903]
[1052.0013],[1004.0932]
[745.54034],[799.0797]
[1162.1154],[1073.0044]
[1473.847],[1518.8245]
[1337.6837],[1422.0381]
[754.4087],[773.6819]
[1245.518],[1284.439]
[997.726],[924.8824]
[817.476],[826.74524]
[1195.777],[1120.9458]
[775.05634],[766.19977]
[864.162],[817.47614]
[795.5183],[790.64484]
[860.75],[911.1921]
[1036.2877],[1135.4094]
[841.16766],[916.863]
[945.11536],[967.91785]
[1444.7816],[1475.2683]
[1148.9153],[1146.6161]
[1157.9913],[1129.7108]
[695.33734],[710.27026]
[924.62],[900.37897]
[809.07166],[796.55347]
[1276.07],[1222.9004]
[929.7233],[887.2002]
[957.03436],[966.114]
[1301.1813],[1278.764]
[914.3333],[983.8384]
