True_value,Prediction
[1517.428],[1552.8608]
[850.9343],[875.05865]
[1124.7743],[1145.0872]
[749.27966],[690.63873]
[811.88165],[801.80597]
[1085.937],[1124.6842]
[993.0887],[1005.5325]
[1202.4576],[1153.1272]
[1174.8413],[1153.2684]
[1179.3397],[1177.3232]
[847.852],[869.7604]
[975.37866],[938.3052]
[837.66],[860.99744]
[1058.5767],[1019.4698]
[879.0137],[916.9087]
[769.373],[788.7395]
[1028.0327],[1073.2474]
[821.63666],[829.7782]
[888.2913],[897.08527]
[996.62164],[973.033]
[1131.6606],[1286.6123]
[1642.9303],[1553.5522]
[839.024],[846.7374]
[754.1743],[758.33325]
[903.1273],[912.2583]
[1053.0697],[1068.4027]
[1103.8336],[1124.1378]
[1056.9536],[1037.9412]
[1044.199],[1051.2733]
[738.9117],[686.63544]
[899.00366],[830.2888]
[1327.028],[1357.0519]
[1142.3696],[1163.1195]
[826.668],[900.24005]
[938.913],[951.95404]
[1001.228],[1052.7435]
[902.7573],[858.07886]
[733.05],[684.50323]
[1143.6367],[1095.4258]
[912.5157],[953.5818]
[1312.4316],[1317.6588]
[1191.2467],[1185.5413]
[855.065],[861.1273]
[816.58167],[814.1424]
[1661.0493],[1553.4674]
[1036.2296],[1009.0994]
[955.445],[1055.0945]
[838.104],[852.6483]
[669.46564],[690.95984]
[1384.5657],[1424.9377]
[1112.4636],[1124.3044]
[1114.6937],[1119.6202]
[859.37964],[860.2489]
[869.6977],[821.466]
[951.38666],[970.8112]
[1369.3823],[1351.0765]
[1039.2034],[1045.6572]
[711.82635],[730.2824]
[1387.5133],[1352.5386]
[1023.2623],[1023.0882]
[679.5673],[680.1114]
[1435.854],[1427.5077]
[1123.6764],[1140.957]
[909.87366],[908.4337]
[911.30066],[882.86096]
[787.313],[785.71844]
[1285.387],[1212.554]
[1203.4657],[1226.1104]
[712.97266],[754.69495]
[976.0267],[1040.6659]
[957.40533],[1018.0364]
[908.3723],[890.59485]
[1087.2336],[1082.0919]
[1078.202],[1078.9801]
[889.9217],[938.42993]
[1135.5503],[1124.4625]
[1038.694],[1009.0535]
[1282.8723],[1231.801]
[1013.18],[1049.4592]
[1018.345],[1075.7446]
[903.09564],[977.08215]
[820.73865],[863.18427]
[1506.4707],[1263.9604]
[777.7767],[751.98895]
