group,Date,KWH,Next_3_Days_Energy_Total,sunshine,global_radiation,max_temp,mean_temp,min_temp,pressure,cloud_cover_0.0,cloud_cover_1.0,cloud_cover_2.0,cloud_cover_3.0,cloud_cover_4.0,cloud_cover_5.0,cloud_cover_6.0,cloud_cover_7.0,cloud_cover_8.0,precipitation_0,precipitation_1,precipitation_2,precipitation_3,precipitation_4,snow_depth_0.0,snow_depth_1.0,Predictions
39,2013-02-19,1289.014,1412.1850000000002,546.0,110.0,5.4,4.8,-1.5,101960.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,[1434.5253]
22,2012-10-03,969.02,1005.7806666666668,96.0,69.0,16.4,13.1,11.0,100560.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,[932.9752]
2,2013-10-15,855.255,818.54,204.0,78.0,15.9,10.9,7.9,101080.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,[882.4735]
4,2013-12-19,907.067,976.3746666666666,306.0,42.0,11.1,7.0,4.9,100210.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,[967.6062]
45,2013-07-09,829.768,807.9516666666667,870.0,333.0,24.6,19.9,12.5,102820.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[863.1611]
50,2013-05-18,876.559,882.3710000000001,102.0,131.0,18.8,12.4,8.8,100820.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[903.0563]
35,2012-12-02,1274.302,1204.0006666666666,330.0,47.0,10.8,4.2,-2.1,101650.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,[1179.6919]
37,2013-07-23,846.046,842.3453333333333,294.0,193.0,27.7,25.2,20.7,101330.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,[865.189]
26,2013-08-27,690.627,656.3580000000002,510.0,208.0,24.7,17.8,11.9,101870.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,[699.3972]
38,2013-01-28,1434.028,1349.8549999999998,48.0,29.0,13.8,7.2,2.4,100540.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,[1498.5854]
29,2013-04-30,860.487,855.085,606.0,250.0,16.5,9.5,4.2,102480.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,[885.72253]
36,2013-11-27,1082.904,1055.767,0.0,15.0,10.3,6.6,2.2,103400.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,[1097.1909]
1,2012-12-09,1434.04,1330.1593333333333,42.0,20.0,5.9,6.1,2.9,101930.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[1430.5277]
6,2013-08-23,829.38,881.1173333333332,372.0,184.0,18.7,21.7,15.7,101450.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,[908.81836]
48,2013-10-13,895.749,829.4176666666668,0.0,32.0,11.8,10.5,9.6,101070.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,[875.0301]
17,2013-08-06,763.547,751.0846666666667,546.0,242.0,23.1,17.3,11.9,101580.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[783.1521]
14,2012-11-26,919.654,922.2533333333334,0.0,15.0,8.6,8.1,6.8,99830.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,[934.89514]
51,2013-05-01,924.8,834.6163333333334,612.0,253.0,17.6,10.2,3.8,102430.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,[912.52185]
17,2014-02-17,1069.986,1003.3843333333334,6.0,29.0,11.1,6.8,2.7,100770.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,[1026.145]
